split,threshold_minutes,group_column,group_value,row_count,actual_severe_delay_rate,mean_predicted_severe_delay_probability,probability_calibration_gap,false_negative_rate
test,30,Route,53,765,0.0718954248366013,0.05526833617816266,-0.016627088658438642,0.32727272727272727
test,30,Route,89,616,0.0698051948051948,0.06337723286154179,-0.006427961943653013,0.13953488372093023
test,30,Route,96,935,0.06844919786096257,0.10509998693086084,0.03665078906989827,0.203125
test,30,Route,123,389,0.06683804627249357,0.09862419084710446,0.03178614457461089,0.2692307692307692
test,30,Route,62,106,0.0660377358490566,0.10764356230754613,0.04160582645848952,0.14285714285714285
test,30,Route,90,308,0.06493506493506493,0.07883736850654509,0.01390230357148016,0.0
test,30,Route,72,463,0.06479481641468683,0.08275525569945939,0.01796043928477256,0.16666666666666666
test,30,Route,25,674,0.06231454005934718,0.05826134657700064,-0.004053193482346541,0.3333333333333333
test,30,Route,29,1382,0.060781476121562955,0.060377568622792234,-0.00040390749877072113,0.25
test,30,Route,161,316,0.060126582278481014,0.11224272380851182,0.0521161415300308,0.21052631578947367
test,30,Route,41,808,0.0594059405940594,0.07645530567019206,0.017049365076132653,0.22916666666666666
test,30,Route,47,769,0.05851755526657997,0.08683435903966268,0.028316803773082704,0.26666666666666666
test,30,Route,929,838,0.05847255369928401,0.0644676603725833,0.005995106673299284,0.14285714285714285
test,30,Route,95,1019,0.05789990186457311,0.04816860508747664,-0.009731296777096471,0.3728813559322034
test,30,Route,43,841,0.057074910820451845,0.05590907628697811,-0.001165834533473735,0.2916666666666667
test,30,Route,510,1559,0.055805003207184095,0.08239097377247125,0.02658597056528715,0.5172413793103449
test,30,Route,34,723,0.05532503457814661,0.041435485440699193,-0.013889549137447416,0.575
test,30,Route,85,957,0.054336468129571575,0.07050195947199929,0.016165491342427715,0.38461538461538464
test,30,Route,32,1771,0.05420666290231508,0.05963488502395327,0.005428222121638189,0.3020833333333333
test,30,Route,63,1197,0.053467000835421885,0.06494299820764336,0.011475997372221478,0.171875
test,30,Route,24,586,0.052901023890784986,0.0556375429669153,0.002736519076130317,0.22580645161290322
test,30,Route,52,1685,0.052818991097922846,0.054951885787532434,0.002132894689609588,0.6292134831460674
test,30,Route,996,370,0.051351351351351354,0.04703300400901381,-0.004318347342337547,0.10526315789473684
test,30,Route,7,966,0.049689440993788817,0.04948268269668821,-0.00020675829710060933,0.20833333333333334
test,30,Route,113,184,0.04891304347826087,0.1439644799760097,0.09505143649774883,0.2222222222222222
test,30,Route,989,145,0.04827586206896552,0.0493004132736602,0.0010245512046946834,0.2857142857142857
test,30,Route,39,565,0.047787610619469026,0.05607726467872215,0.008289654059253124,0.18518518518518517
test,30,Route,75,505,0.047524752475247525,0.10134859340966187,0.05382384093441435,0.125
test,30,Route,94,381,0.047244094488188976,0.05562702469891936,0.008382930210730381,0.2222222222222222
test,30,Route,512,1167,0.04712939160239932,0.08076083047823032,0.033631438875831005,0.5272727272727272
test,30,Route,925,404,0.04702970297029703,0.0609250635624457,0.013895360592148673,0.10526315789473684
test,30,Route,100,576,0.046875,0.060520960300992604,0.013645960300992604,0.14814814814814814
test,30,Route,106,172,0.046511627906976744,0.07789662682592086,0.03138499891894411,0.375
test,30,Route,23,152,0.046052631578947366,0.03567479839119565,-0.010377833187751713,0.42857142857142855
test,30,Route,70,287,0.04529616724738676,0.10732028469806759,0.06202411745068083,0.3076923076923077
test,30,Route,168,289,0.04498269896193772,0.07816938003992406,0.03318668107798634,0.0
test,30,Route,38,491,0.04480651731160896,0.0358891640386739,-0.00891735327293506,0.18181818181818182
test,30,Route,904,134,0.04477611940298507,0.09420161003789013,0.049425490634905055,0.0
test,30,Route,76,253,0.043478260869565216,0.07356074256656811,0.030082481697002894,0.2727272727272727
test,30,Route,61,167,0.041916167664670656,0.08637819936900523,0.044462031704334576,0.2857142857142857
test,30,Route,165,785,0.04076433121019108,0.05243506426270453,0.011670733052513448,0.0625
test,30,Route,133,518,0.04054054054054054,0.0555006979270676,0.014960157386527055,0.047619047619047616
test,30,Route,320,501,0.03992015968063872,0.0673163735643289,0.02739621388369018,0.2
test,30,Route,935,538,0.03903345724907063,0.046628164687907085,0.0075947074388364524,0.09523809523809523
test,30,Route,131,419,0.03818615751789976,0.050949080407103754,0.012762922889203991,0.125
test,30,Route,939,843,0.03795966785290629,0.04118188674156223,0.0032222188886559394,0.21875
test,30,Route,116,859,0.037252619324796274,0.0458749806103475,0.008622361285551224,0.09375
test,30,Route,600,311,0.03536977491961415,0.036153565606377794,0.0007837906867636454,0.7272727272727273
test,30,Route,927,530,0.033962264150943396,0.0429947248453555,0.009032460694412103,0.2222222222222222
test,30,Route,36,1532,0.03328981723237598,0.03809628581358285,0.004806468581206869,0.17647058823529413
test,30,Route,45,564,0.031914893617021274,0.049655134162158776,0.017740240545137502,0.16666666666666666
test,30,Route,960,725,0.031724137931034485,0.04449706198968758,0.012772924058653094,0.043478260869565216
test,30,Route,903,420,0.030952380952380953,0.030800971239694296,-0.00015140971268665787,0.15384615384615385
test,30,Route,35,1312,0.03048780487804878,0.04420796683801351,0.013720161959964727,0.075
test,30,Route,905,311,0.028938906752411574,0.03169536371221251,0.002756456959800934,0.2222222222222222
test,30,Route,924,150,0.02666666666666667,0.020967889151846317,-0.005698777514820352,0.25
test,30,Route,984,155,0.025806451612903226,0.028588056035580123,0.002781604422676897,0.25
test,30,Route,60,583,0.025728987993138937,0.04203721381904389,0.016308225825904955,0.2
test,30,Route,16,274,0.025547445255474453,0.04583769145057987,0.02029024619510542,0.2857142857142857
test,30,Route,985,510,0.025490196078431372,0.04500601433957101,0.019515818261139635,0.23076923076923078
